pubDate,featured,headlineEn,headlineCh,link
2021/5/5,,Bukit Merah View market and other Covid-19 clusters in S’pore: What we know so far,,https://www.straitstimes.com/multimedia/graphics/2021/05/singapore-covid19-clusters/index.html?stextension
2021/3/20,,Fukushima disaster 10 years on: How long will it take to clean up the nuclear waste?,,https://www.straitstimes.com/multimedia/graphics/2021/03/fukushima/index.html
2021/2/28,,"Covid-19: Tracking the global race to vaccinate
",,https://www.straitstimes.com/multimedia/graphics/2021/02/covid-vaccine-rollout/index.html?stextension
2021/2/28,,"The Great Singapore Cycle
",,https://www.straitstimes.com/multimedia/graphics/2021/02/great-singapore-cycle/index.html
2020/12/19,1,30 and under: Young Singaporeans to watch,,https://www.straitstimes.com/multimedia/graphics/2020/12/30-young-singaporeans/index.html
2020/12/19,,30 and under: Young Asians to watch,,https://www.straitstimes.com/multimedia/graphics/2020/12/30-young-asians/index.html
2020/10/30,1,The Great S’pore Drive: Take a 200km road trip without leaving the country,,https://www.straitstimes.com/multimedia/graphics/2020/10/great-singapore-drive/index.html
2020/10/27,1,Trump v Biden 2020,,https://www.straitstimes.com/multimedia/graphics/2020/10/trump-biden/index.html
2020/9/26,,Covid-19 through my eyes,,https://www.straitstimes.com/multimedia/graphics/2020/09/covid-stories/index.html
2020/8/23,,Singapore’s 14th Parliament: Get to know your MPs,,https://www.straitstimes.com/multimedia/graphics/2020/08/singapore-14th-parliament/index.html
2020/7/7,1,"Singapore GE2020: New faces, old-timers and quite a few lawyers",,https://www.straitstimes.com/multimedia/graphics/2020/07/singapore-general-election-ge2020-candidates-backgrounds/index.html
2020/6/30,1,Battleground Singapore: Get to know your GE2020 candidates,,https://www.straitstimes.com/multimedia/graphics/2020/06/singapore-general-election-ge2020-candidates/index.html
2020/5/25,1,How Covid-19 is changing what Singaporeans shop for online,,https://www.straitstimes.com/singapore/covid-shopping
2020/2/6,,Coronavirus cases in Singapore: What we know so far,,https://www.straitstimes.com/multimedia/graphics/2020/02/spore-virus-cases/index.html?stextension
2019/12/11,1,When it begins to look a lot like Christmas... as revealed by listeners on Spotify,,https://www.straitstimes.com/multimedia/when-it-begins-to-look-a-lot-like-christmas-as-revealed-by-listeners-on-spotify
2019/12/1,,South-east Asia's meth menace: One man's struggle,,https://www.straitstimes.com/multimedia/graphics/2019/11/south-east-asia-meth-menace/index.html
2019/10/6,,"A city divided, a mother's anguish",,https://graphics.straitstimes.com/STI/STIMEDIA/Interactives/2019/10/hkfamily/index.html
2019/9/8,,Singapore GE: Which are the constituencies that may be redrawn?,,https://graphics.straitstimes.com/STI/STIMEDIA/Interactives/2019/09/SingaporeGE-constituencies/
2019/8/11,,How ready are you to live with AI?,,https://graphics.straitstimes.com/STI/STIMEDIA/Interactives/2019/08/how-ready-are-you-to-live-with-ai/index.html
2019/3/22,,China’s Happiness Paradox,联合国说你没去年幸福，有钱还不够幸福 ,https://mp.weixin.qq.com/s/PO_F2AZbqsy62BPlqXRQYg
2019/2/19,1,An Illustrated Guide to the Rise and Fall of China's Bike Sharing Empires,图绘 | 这条“生命线”，记录了共享单车三年成败史,https://www.thepaper.cn/newsDetail_forward_3005387
2018/12/6,,"How an A-list superstar Fan Bingbing's Tax Fraud Scandal Affected Film and TV industry in Khorgas, Xinjiang",有多少明星通过合法避税赚钱？政策的羊毛能被薅多久？,https://mp.weixin.qq.com/s/RpkNUJizfg3jb9dQp-q7yQ
2018/6/15,,Pick your Mrsoccers,Pick足球先生,https://news.qq.com/zt2018/footballer/index.htm
2018/05/12,,10 years after Wenchuan earthquake: Rebuilding home and lives,汶川的孩子,https://news.qq.com/zt2018/wchildren
2018/2/11,,Unravelling 1000 child trafficking routes in China,宝贝，我们等你回家过年－－图解十年千位儿童的被拐路线,https://mp.weixin.qq.com/s/cm1kkdiSFoGW4CsLIyNjfw
2018/2/9,,Chinese slow trains in the era of high-speed,快時代的慢火車,https://news.qq.com/topic/train_story.htm
2018/2/1,1,How the Number of China’s Train Stations Has Doubled in a Decade ,中国2207个火车站的十年进化,https://news.qq.com/zt2018/slowTrain/
2017/07/14,,Beijing's school district housing fever,圖解學區房,https://news.qq.com/zt2017/xqfstory/data.htm
