pubDate,publication,org,featured,headlineEn,headlineEnShort,tag,headlineCh,link,imgLink,award,note
2021/10/30,Straits Times,Straits Times,1,Remembering the 5 million lives lost to Covid-19,5 Million Lives Lost to Covid-19,,,https://www.straitstimes.com/multimedia/graphics/2021/10/covid19-5million-deaths/index.html,https://spepechen.github.io/img/covid-flowers.png,,"Breaking emotional numbness towards the pandemic's toll with floral data viz. It was my first time experimenting with the combination of Arquero, D3 and Observable."
2021/10/17,Straits Times,Straits Times,,Down with Delta: Recovered Covid-19 patients in S’pore tell their stories,Down with Delta: Recovered Covid-19 patients in S’pore tell their stories,,,https://www.straitstimes.com/singapore/covid19-recovery,,,
2021/7/24,Straits Times,Straits Times,1,The Champion’s Challenge,The Champion’s Challenge,,,https://www.straitstimes.com/multimedia/graphics/2021/07/joseph-schooling-champions-challenge/index.html,https://spepechen.github.io/img/schooling.jpg,,Take a deep dive into Singapore's first-ever Olympics gold medalist's butterfly technique with visual annotations and video commentaries from the swimmer and the national coach.
2021/5/5,Straits Times,Straits Times,,Bukit Merah View market and other Covid-19 clusters in S’pore: What we know so far,Bukit Merah View market and other Covid-19 clusters in S’pore: What we know so far,,,https://www.straitstimes.com/multimedia/graphics/2021/05/singapore-covid19-clusters/index.html?stextension,,,
2021/3/20,Straits Times,Straits Times,1,Fukushima disaster 10 years on: How long will it take to clean up the nuclear waste?,Fukushima Disaster 10 years on,,,https://www.straitstimes.com/multimedia/graphics/2021/03/fukushima/index.html,https://spepechen.github.io/img/fukushima.jpg,,"A rare chance for me to be able to wrap anecdotes with data, maps and satellite img timelapse."
2021/2/28,Straits Times,Straits Times,,"Covid-19: Tracking the global race to vaccinate","Covid-19: Tracking the global race to vaccinate",,,https://www.straitstimes.com/multimedia/graphics/2021/02/covid-vaccine-rollout/index.html?stextension,,,
2021/2/28,Straits Times,Straits Times,,"The Great Singapore Cycle","The Great Singapore Cycle",,,https://www.straitstimes.com/multimedia/graphics/2021/02/great-singapore-cycle/index.html,,,
2020/12/19,Straits Times,Straits Times,,30 and under: Young Singaporeans to watch,30 and under: Young Singaporeans to watch,,,https://www.straitstimes.com/multimedia/graphics/2020/12/30-young-singaporeans/index.html,https://spepechen.github.io/img/30-under-30.jpg,,
2020/12/19,Straits Times,Straits Times,,30 and under: Young Asians to watch,30 and under: Young Asians to watch,,,https://www.straitstimes.com/multimedia/graphics/2020/12/30-young-asians/index.html,,,
2020/10/30,Straits Times,Straits Times,1,The Great S’pore Drive: Take a 200km road trip without leaving the country,The Great S’pore Drive,,,https://www.straitstimes.com/multimedia/graphics/2020/10/great-singapore-drive/index.html,https://spepechen.github.io/img/sg-drive.jpg,"SND 42 - Award of Excellence, ST Newscon 2020 - Special Awards for Excellence",Found my last piece of the SVG puzzle - the workflow from exporting artwork from illustrator to supplying the interactivity. Sparkling clean layers are the key.
2020/10/27,Straits Times,Straits Times,,Trump v Biden 2020,Trump v Biden 2020,,,https://www.straitstimes.com/multimedia/graphics/2020/10/trump-biden/index.html,,,Experimented with various cropping and layout formats for a visual-driven/Instagram-story-like piece. Coloring in Adobe Premier adds a nice touch to footages.
2020/9/26,Straits Times,Straits Times,,Covid-19 through my eyes,Covid-19 through my eyes,,,https://www.straitstimes.com/multimedia/graphics/2020/09/covid-stories/index.html,,ST Newscon 2020 - Cross-media of the Year,
2020/8/23,Straits Times,Straits Times,,Singapore’s 14th Parliament: Get to know your MPs,Singapore’s 14th Parliament: Get to know your MPs,,,https://www.straitstimes.com/multimedia/graphics/2020/08/singapore-14th-parliament/index.html,,,
2020/7/7,Straits Times,Straits Times,1,"Singapore GE2020: New faces, old-timers and quite a few lawyers",S’pore GE2020 Candidate Analysis,,,https://www.straitstimes.com/multimedia/graphics/2020/07/singapore-general-election-ge2020-candidates-backgrounds/index.html,https://spepechen.github.io/img/candidates-bg.jpg,SND 42 - Award of Excellence,Pitched a “You Draw It” news quiz that challenges readers’ knowledge of the all-too-familiar candidates. I grew some white hair for this data graphics + interactivity’s mobile version.
